Product_name,Product_price,Product_rating
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Green)",999,3.9
"Ambrane 10000mAh Magnetic Wireless Power Bank for iPhone 12 & Above, 22.5W Wired + 15W Wireless Charging, Mobile Stand, Type C PD (Input & Output), Li-Polymer (Aerosync PB 10, Black)","1,899",2.9
"pTron Newly Launched Dynamo Lite 10000mAh 12W Power Bank, Made in India, Dual USB Charging Ports, 2 Input Ports Type-C & Micro USB, Slim Design & Multiple Layers of Protection (Black)",799,3.3
"Ambrane 20000mAh Premium Metallic Nano Powebank, 22.5W Super Fast Charging, Compact Pocket Size, Dual Type C & USB, Power Delivery PD & Quick Charge for iPhone, Smartphones (Powerlit XL, Blue)","1,999",3.8
"pTron Dynamo Classic 20000mAh 22.5W Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 2 Inputs Type-C/PD & Micro USB, Multi Layers of Protection (Green)","1,599",4.3
eller santé® 10000mAh Magnetic Wireless Power Bank for iPhone 15/14/13/12 Series Fast Charging Dual USB Port Lithium Polymer QC 3.0 Type-C PD (Input & Output) 15W Wireless & Mag-Safe (Black),"2,999",4.1
"pTron Dynamo Classic 20000mAh 22.5W Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 2 Inputs Type-C/PD & Micro USB, Multi Layers of Protection (Black)","1,599",4.3
"Portronics Power Brick II 10000 mAh,2.4A 12w Slim Power Bank with Dual USB Output Port for iPhone, Anrdoid & Other Devices.(Black)",699,3.5
"URBN Power Bank 10,000mAh - Ultra Slim, 22.5W Two Way Fast Charging, Triple Output, Dual Type C PD, 12 Layers Circuit Protection, BIS Certified, 6 Months Warranty Free Type C Cable - Bright Blue",899,3.9
"URBN 27000 mAh 22.5W Super Fast Charging Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Blue)","2,199",3.9
"Anker Apple MFi Certified MagSafe Power Bank for iPhone 15, 14, 13 Series, MagGo Portable 15W Super Fast Charging, Magnetic Wireless Power Bank, Ultra Slim Design (5,000 mAh with Stand, White)","4,599",4.0
"URBN Power Bank 10,000mAh - Ultra Slim, 22.5W Two Way Fast Charging, Triple Output, Dual Type C PD, 12 Layers Circuit Protection, BIS Certified, Made in India with Free Type C Cable - Blue.","1,099",3.9
"CALLMATE 20000Mah Power Bank, 15W Fast Charging| Buit-in Cables | 4 Output Ports and 3 Input | for iPhone, Smartphones & Other Devices (15 W, Fast Charging) (Black, Lithium Polymer)","1,349",3.3
"URBN 10,000 mAh Magsafe Power Bank with Stand | 15W Fast Wireless Charging |Strong Magnetic Hold | Type C Input/Output | Pass Through Charging | MagTag Ring Included | (Black)","3,499",4.0
"Ambrane 27000mAh Li-Polymer Powerbank with Type C and USB Ports | Fast Charging for Smartphones, Smart Watches, Neckbands & Other Devices (PP-30 Pro, Black)","2,399",4.2
"DR VAKU® 10000mAh Power Bank Clear Bolt Portable 20W PD QC Fast Charging Dual USB Port (Input & Output) Lithium Polymer Battery Power Bank for iPhone,Samsung & Android Devices with SOS Led Light Torch","1,399",4.3
"Ambrane 20000mAh Premium Metallic Nano Powebank, 22.5W Super Fast Charging, Compact Pocket Size, Dual Type C & USB, Power Delivery PD & Quick Charge for iPhone, Smartphones (Powerlit XL, Blue)","1,999",3.8
"Ambrane 50000mAh Powerbank, 20W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer, Compatible for iPhone, Android and Other Devices (Stylo Max, Blue)","1,999",4.0
"Ambrane 20000mAh Power Bank with 20W Fast Charging, Triple Output, Power Delivery, Type C Input, Made in India, Multi-Layer Protection, Li-Polymer + Type C Cable (Stylo-20k, Black)","1,999",4.0
Oboe Silicon Soft Cover Case for Mi Power Bank 3i 20000 mAh Battery (Black) [Power Bank NOT Included],"1,999",4.0
URBN 5000 mAh Premium Black Edition Magsafe Power Bank | 15W Fast Wireless Charging |Strong Magnetic Hold | Type C Input/Output | Pass Through Charging | MagTag Ring Included | (Black),"1,999",3.8
"Amazon Basics 10000mAH Lithium Polymer Power Bank | 3 Charging Cables Included | Four Way Output (Micro USB, Type C, iPhone Cables and 1 USB Port), Dual Input (Type C, Micro USB) | Black","1,999",3.7
"URBN Power Bank 10,000mAh - Ultra Slim, 22.5W Two Way Fast Charging, Triple Output, Dual Type C PD, 12 Layers Circuit Protection, BIS Certified, 6 Months Warranty Free Type C Cable - Camo","1,999",3.9
URBN 27000 mAh 65W Ultra Fast Charging Compact Power Bank | Type C Power Delivery (Input& Output) | Quick Charge | Two-Way Fast Charging | Charge Laptop/Mobiles/TWS/Speakers | (Blue),"1,999",3.9
"Amazon Basics 10000 mAh 22.5W Fast Charging Lithium Polymer Power Bank | Charging Indicator + Type C Cable | Triple Output, White","1,999",3.3
"Anker Apple MFi Certified MagSafe Power Bank for iPhone 15, 14, 13 Series, MagGo Portable 20W Super Fast Charging, Magnetic Wireless Power Bank, Ultra Slim Design (10,000 mAh, Black)","1,999",4.0
"pTron Dynamo Classic 20000mAh 22.5W Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 2 Inputs Type-C/PD & Micro USB, Multi Layers of Protection (Blue)","1,999",4.3
"pTron Newly Launched Dynamo Lite 10000mAh 12W Power Bank, Made in India, Dual USB Charging Ports, 2 Input Ports Type-C & Micro USB, Slim Design & Multiple Layers of Protection (Blue)","1,999",3.2
"Amazon Basics 10000 mAh 22.5W Fast Charging Lithium Polymer Power Bank with Type C Cable | Dual Input, Triple Output | Black","1,999",3.3
"Redmi 10000mAh Lithium Polymer Power Bank with 10 Watt Fast Charging, (White)","1,999",4.2
"Anker 622 Magnetic Battery MagGo, 5000mAh Foldable Magnetic Wireless Portable Charger and USB-C for iPhone 14 & 13 Series (Interstellar Grey)","1,999",4.3
"Spigen 20000 mAh, 30W Fast Charging Power Bank for MacBook Pro with 30W for 2 USB-C Ports, 22.5W for 1 USB-A Port, Included USB-C to USB-C Cable - Black","1,999",4.1
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Green)","1,999",3.9
"Ambrane 27000mAh Power Bank, 20W Fast Charging, Triple Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Pro, Green)","1,999",4.0
"Ambrane 27000mAh Li-Polymer Powerbank with Type C and USB Ports | Fast Charging for Smartphones, Smart Watches, Neckbands & Other Devices (PP-30 Pro, Black)","1,999",4.2
"Spigen 20000 mAh, 30W Fast Charging Power Bank for MacBook Pro with 30W for 2 USB-C Ports, 22.5W for 1 USB-A Port, Included USB-C to USB-C Cable - Navy Blue","1,999",4.1
"pTron Dynamo 10000mAh 22.5W Power Bank Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Output, 2 Input Ports Type-C/PD & Micro USB & Multiple Layers of Protection (Green)","1,999",4.3
"Stuffcool Mega 10000mAh 30W PD Super Compact Powerbank with Samsung Super Fast Charging, Charges iPhones, Pixels 50% in 30 mins","1,999",3.4
"Amazon Basics 10000mAh 22.5W Lithium-Polymer Metal Power Bank | Dual Input, Triple Output | Fast Charging, Twilight Blue, Type-C Cable Included","1,999",3.7
"URBN Power Bank 10,000mAh - Ultra Slim, 22.5W Two Way Fast Charging, Triple Output, Dual Type C PD, 12 Layers Circuit Protection, BIS Certified, 6 Months Warranty with Free Type C Cable (Purple)","1,999",3.9
"pTron Newly Launched Dynamo Elite 10000mAh 22.5W Power Bank Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Output Ports, 2 Input Ports & Multiple Layers of Protection (Black)","1,999",3.7
"Ambrane 27000mAh Li-Polymer Powerbank with Type C and USB Ports | Fast Charging for Smartphones, Smart Watches, Neckbands & Other Devices (PP-30 Pro, Black)","1,999",4.2
"Amazon Basics 20000Mah Lithium Polymer 18W Fast Charging Power Bank | Triple Output (Type C, 2 USB) and Dual Input (Type C, Micro USB) Ports | Metallic Body, Black","1,999",3.7
"pTron Newly Launched Dynamo Z 10000mAh 22.5W Power Bank Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Output Ports, 2 Input Ports & Multiple Layers of Protection (Black)","1,999",4.3
"Amazon Basics 20000 mAh 22.5W Fast Charging Lithium Polymer Power Bank | Charging Indicator + Type C Cable | Triple Output, White","1,999",3.3
Electronic Spices T6845-C Power Bank Charging Circuit Module Pack of 1pcs,"1,999",3.2
"Ambrane 50000mAh Power Bank, 20W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Max, Black)","1,999",4.0
"DR VAKU® 10000mAh Power Bank Clear Bolt Portable 20W PD QC Fast Charging Dual USB Port (Input & Output) Lithium Polymer Battery Power Bank for iPhone,Samsung & Android Devices with SOS Led Light Torch","1,999",4.3
"Ambrane 10000mAh Magnetic Wireless Power Bank for iPhone 12 & Above, 22.5W Wired + 15W Wireless Charging, Mobile Stand, Type C PD (Input & Output), Li-Polymer (Aerosync PB 10, Black)","1,999",2.9
"Ambrane 20000mAh Premium Metallic Nano Powebank, 22.5W Super Fast Charging, Compact Pocket Size, Dual Type C & USB, Power Delivery PD & Quick Charge for iPhone, Smartphones (Powerlit XL, Blue)","1,999",3.8
"Ambrane 50000mAh Powerbank, 20W Fast Charging, Metallic Body, Triple Output, Type C PD (Input & Output), Li-Polymer, Compatible for iPhone, Android and Other Devices (Stylo Max, Blue)","1,999",4.0
Oboe Silicon Soft Cover Case for Mi Power Bank 3i 20000 mAh Battery (Black) [Power Bank NOT Included],"1,999",4.0
"Ambrane 20000mAh Power Bank with 20W Fast Charging, Triple Output, Power Delivery, Type C Input, Made in India, Multi-Layer Protection, Li-Polymer + Type C Cable (Stylo-20k, Black)","1,999",4.0
"URBN 27000 mAh 22.5W Super Fast Charging Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)","1,999",3.9
"Stuffcool Major Plus 20000mAh 20W Type C PD, 22.5W QC3.0 Type A Port Fast Charging Powerbank, Charges iPhones 50% in 30 mins, Supports Fast Charging for Galaxy, Pixel and Other Android Devices","1,999",4.0
Stuffcool PB9063W 5000mAh Magnetic Powerbank Compatible with Apple Watch Charging and Leather Kick Stand - Black,"1,999",3.3
"Callmate 30000mAh High Capacity Power Bank, 15W Fast Charging | Digital Display | 2 USB Output Ports and 2 Input | LED Torch| Multi-Layer Protection for iPhone & Smartphones (Black, Lithium Polymer)","1,999",3.3
"Amazon Basics 20000 Mah Lithium Polymer 22.5W Fast Charging Power Bank | Triple Output (Type C, 2 USB), Dual Input (Type C, Micro USB) | Metallic Blue","1,999",3.3
URBN 20000 mAh 45W Ultra Fast Charging Compact Power Bank | Type C Power Delivery (Input& Output) | Quick Charge | Two-Way Fast Charging | Charge Laptop/Mobiles/TWS/Speakers | (Blue),"1,999",3.9
Oboe Silicon Soft Cover Case for Mi Power Bank 3i 20000 mAh Battery (Black) [Power Bank NOT Included],"1,999",4.0
"Portronics Power E 10K 10000 mAh,2.4A 12w Slim Power Bank with Dual USB Output Port for iPhone, Anrdoid & Other Devices.(Black)","1,999",3.3
URBN 5000 mAh Premium Black Edition Magsafe Power Bank | 15W Fast Wireless Charging |Strong Magnetic Hold | Type C Input/Output | Pass Through Charging | MagTag Ring Included | (Light Blue),"1,999",3.8
Duracell Powerbank 20000mh with Series 3 - A to C Cable,"1,999",4.2
"CALLMATE 20000Mah Power Bank, 15W Fast Charging| Buit-in Cables | 4 Output Ports and 3 Input | for iPhone, Smartphones & Other Devices (15 W, Fast Charging) (Blue, Lithium Polymer)","1,999",3.3
"Anker Power Bank, PowerCore Essential with Digital Display, Patented PowerIQ Technology for Fast Charging iPhone 15, 14, 13, Samsung, Pixel, LG, Other Phones & Tablets","1,999",4.3
"Ambrane 10000mAh Slim Power Bank, 20W Fast Charging, Dual Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Anrdoid & Other Devices (Stylo 10K, Green)","1,999",3.9
"Ambrane 27000mAh Power Bank, 20W Fast Charging, Triple Output, Type C PD (Input & Output), Quick Charge, Li-Polymer, Multi-Layer Protection for iPhone, Smartphones & Other Devices (Stylo Pro, Green)","1,999",4.0
"Ambrane 27000mAh Li-Polymer Powerbank with Type C and USB Ports | Fast Charging for Smartphones, Smart Watches, Neckbands & Other Devices (PP-30 Pro, Black)","1,999",4.2
URBN 10000 mAh Li-Polymer Ultra Compact Power Bank | 12W Fast Charge | Dual USB Output | Type C & Micro Input Only | Pocket Size | Made in India (Purple),"1,999",3.8
"Qubo MagZap X10 from Hero Group 10000 mAh Magnetic Magsafe Wireless Power Bank, 15W Wireless/20W Wired Output, USB Type C, Supports iPhone 12 & Above, Metal Ring Included for Older Models (Black)","1,999",3.6
"Stuffcool Major Max 20000mAh 35W PD PPS Type C Made in India Powerbank, Charges MacBook Air M1/M2 0-90%, Supports Galaxy Super Fast Charging, Charges iPhones/Pixels 50% in 30 mins","1,999",4.0
URBN 27000 mAh 22.5W Super Fast Charging Compact Power Bank with 25W USB to Type C Cable (Length: 5 Feet)| Type C Power Delivery (Input& Output) | Two-Way Fast Charging | Universal Compatibility,"1,999",3.9
URBN 10000 mAh Li-Polymer Ultra Compact Power Bank | 12W Fast Charge | Dual USB Output | Type C & Micro Input Only | Pocket Size | Made in India (Bright Blue),"1,999",3.8
Electronicspices 1PCS TP4056 Micro USB Type C Mini Plug 5V 1A 18650 Lithium Battery Charging Protection Board (C-TYPE),"1,999",3.9
"DR VAKU® 10000mAh Power Bank Magnum Series with Type-C 20W Fast Power Delivery Charging Triple USB Port Type C (Input & Output) Lithium Polymer Battery for iPhone, Samsung & Android Devices- Grey","1,999",4.3
"Callmate C-Thru 20000mAh Transparent Power Bank, 23W Fast Charging with Type C PD (Input & Output | 2 Output Ports and 2 Input | Digital Display (23 W, Power Delivery) (Transparent, Grey, Lithium Ion)","1,999",3.7
Electronic Spices3 USB 5V 1A Mobile Power Bank Charger Controller Module Step Up Boost Power Module Lithium Battery Charging Board LED,"1,999",3.4
URBN 20000 mAh 45W Ultra Fast Charging Compact Power Bank | Type C Power Delivery (Input& Output) | Quick Charge | Two-Way Fast Charging | Charge Laptop/Mobiles/TWS/Speakers | (Camo),"1,999",3.9
Electronic Spices 2USB Power Bank Charging Module Circuit Board- DC-DC Step Up Boost Power Supply Module - 5V 1A (2 USB),99,3.0
"Portronics Power Brick II 10000 mAh,2.4A 12w Slim Power Bank with Dual USB Output Port for iPhone, Anrdoid & Other Devices.(Blue)",99,3.5
"DR VAKU® 10000mAh Power Bank Clear Bolt Portable 20W PD QC Fast Charging Dual USB Port (Input & Output) Lithium Polymer Battery Power Bank for iPhone,Samsung & Android Devices with SOS Led Light Torch",99,4.3
"Ambrane 10000mAh Magnetic Wireless Power Bank for iPhone 12 & Above, 22.5W Wired + 15W Wireless Charging, Mobile Stand, Type C PD (Input & Output), Li-Polymer (Aerosync PB 10, Black)",99,2.9
"Ambrane 20000mAh Premium Metallic Nano Powebank, 22.5W Super Fast Charging, Compact Pocket Size, Dual Type C & USB, Power Delivery PD & Quick Charge for iPhone, Smartphones (Powerlit XL, Blue)",99,3.8
